Name EN,Name CN
Splatterhouse (Japan) (En),鬼屋
Splatterhouse (USA),鬼屋
Stratego (Japan),开心蘋果棋
Street Fighter II' - Champion Edition (Japan),快打旋风2
Strip Fighter II (Japan) (Unl),女子快打2
Super Metal Crusher (Japan) (En),超级金属杀手
Super Momotarou Dentetsu (Japan) (Alt),桃太郎电铁
Super Momotarou Dentetsu (Japan),桃太郎电铁
Super Momotarou Dentetsu II (Japan),桃太郎电铁2
Super Star Soldier (Japan),超级星际战士
Super Star Soldier (USA),超级星际战士
"Super Star Soldier (USA, Europe) (Wii U Virtual Console)",超级星际战士
Super Star Soldier (Japan) (Wii U Virtual Console),超级星际战士
Super Volley Ball (Japan),超级排球
Super Volleyball (USA),超级排球
Susanoou Densetsu (Japan),凄狂传说
Taito Chase H.Q. (Japan),追踪HQ
Takahashi Meijin no Shin Bouken-jima (Japan) (En),高桥名人之大冒险岛
Takahashi Meijin no Shin Bouken-jima (Japan) (En) (Wii U Virtual Console),高桥名人之大冒险岛
Takeda Shingen (Japan),武田信玄
Takin' It to the Hoop (USA),美国篮球
TaleSpin (USA),泰瑞熊
Tatsujin (Japan) (En),宇宙达人
Tatsujin (Japan) (En) (Beta),宇宙达人
Tatsunoko Fighter (Japan),龙之子
Ten no Koe Bank (Japan),天之声
Tenseiryuu - Saint Dragon (Japan) (En),天圣龙
Terra Cresta II - Mandoler no Gyakushuu (Japan) (En),神鹰一号2 - 曼德勒的反击
Thunder Blade (Japan) (En),战斗直升机
Tiger Road (USA),虎之道
Time Cruise (USA),弹珠台
Time Cruise II (Japan) (En),弹珠台2
Timeball (USA),时光球
Titan (Japan) (En),泰坦球
Toilet Kids (Japan),马桶小子
Tora e no Michi (Japan),虎之道
"Tower of Druaga, The (Japan)",龙之塔
Toy Shop Boys (Japan) (En),玩具小子
Tricky (Japan),动物金头脑
Tricky Kick (USA),动物金头脑
Tsuppari Oozumou - Heisei Ban (Japan),平成大相扑
Tsuru Teruhito no Jissen Kabushiki Bai Bai Game (Japan),都留照人之实战
Turrican (USA),外星悍将
TV Sports Baseball (USA) (Proto),TV运动棒球
TV Sports Basketball (USA),实况篮球
TV Sports Basketball (Japan),实况篮球
TV Sports Football (USA),实况橄榄球
TV Sports Football (Japan),实况橄榄球
TV Sports Hockey (USA),实况冰上曲棍球
TV Sports Hockey (Japan) (En),实况冰上曲棍球
USA Pro Basketball (Japan),美国篮球
Valkyrie no Densetsu (Japan),女武神传说
Veigues - Tactical Gladiator (USA),机甲战士
Veigues - Tactical Gladiator (Japan) (En),机甲战士
Victory Run (USA),胜利赛车
"Victory Run (USA, Europe) (Wii U Virtual Console)",胜利赛车
"Victory Run - Eikou no 13,000km (Japan) (En)","13,000公里赛车"
"Victory Run - Eikou no 13,000km (Japan) (En) (Wii U Virtual Console)","13,000公里赛车"
Vigilante (Japan) (En),义警
Vigilante (USA),义警
Violent Soldier (Japan) (En),激烈战斗
Volfied (Japan) (En),异形天蚕变
W-Ring - The Double Rings (Japan) (En),宇宙双鹰
Wai Wai Mahjong - Yukai na Janyuu-tachi (Japan),哇哇麻雀
Wallaby!! (Japan),小袋鼠
Wallaby!! (Japan) (Wii U Virtual Console),小袋鼠
Winning Shot (Japan),胜利高尔夫
Wonder Momo (Japan),少女舞台
World Beach Volley (Japan) (En),世界排球
World Circuit (Japan),世界赛车
"World Class Baseball (USA, Europe) (Wii Virtual Console)",世界棒球
World Class Baseball (USA),世界棒球
World Court Tennis (USA),世界网球
World Jockey (Japan),世界赛马
World Sports Competition (USA),超级运动员
"World Sports Competition (USA, Europe) (Wii U Virtual Console)",超级运动员
Xevious - Fardraut Densetsu (Japan),超级铁板阵
Yo' Bro (USA),Yo兄弟
You-You Jinsei (Japan),游游人生
Youkai Douchuuki (Japan),妖怪道中记
Zero4 Champ (Japan),优胜者
Zero4 Champ (Japan) (V1.5),优胜者
Zipang (Japan) (En),所罗门之钥
1941 - Counter Attack (Japan),1941 - 反击战
Aldynes - The Misson Code for Rage Crisis (Japan) (En),霹雳风云
Battle Ace (Japan) (En),皇牌战机
Daimakaimura (Japan) (En),大魔界村
Madou King Granzort (Japan) (En),魔动王 - 光能使者
