EN Name,CN Name
Tanigawa Kouji no Shougi Shinan II - Meijin e no Michi (Japan),谷川浩司的将棋指南2
Tanigawa Kouji no Shougi Shinan II - Meijin e no Michi (Japan) (Beta) (1987-11-13),谷川浩司的将棋指南2
Tanigawa Kouji no Shougi Shinan II - Meijin e no Michi - Shinban Tsumeshougi - Tsugi no Itte (Japan) (Disk Writer),谷川浩司的将棋指南2
Tantei Jinguuji Saburou - Kiken na Futari - Kouhen (Japan),侦探神宫寺三郎 - 危险的二人 - 后篇
Tantei Jinguuji Saburou - Kiken na Futari - Kouhen (Japan) (Virtual Console),侦探神宫寺三郎 - 危险的二人 - 后篇
Tantei Jinguuji Saburou - Kiken na Futari - Zenpen (Japan),侦探神宫寺三郎 - 危险的二人 - 前篇
Tantei Jinguuji Saburou - Kiken na Futari - Zenpen (Japan) (Virtual Console),侦探神宫寺三郎 - 危险的二人 - 前篇
Tantei Jinguuji Saburou - Shinjuku Chuuou Kouen Satsujin Jiken (Japan),侦探神宫寺三郎 - 新宿中央公园杀人事件
Tantei Jinguuji Saburou - Shinjuku Chuuou Kouen Satsujin Jiken (Japan) (Rev 1) (Disk Writer),侦探神宫寺三郎 - 新宿中央公园杀人事件
Tantei Jinguuji Saburou - Shinjuku Chuuou Kouen Satsujin Jiken (Japan) (Rev 1) (Virtual Console),侦探神宫寺三郎 - 新宿中央公园杀人事件
Tarot Uranai (Japan),塔罗牌占卜
Tennis (Japan),网球
Tenshitachi no Houkago (Japan) (Disk 1) (Unl),天使们的放课后
Tenshitachi no Houkago (Japan) (Disk 2) (Unl),天使们的放课后
Time Twist - Rekishi no Katasumi de... - Kouhen (Japan),时空冒险 - 后篇
Time Twist - Rekishi no Katasumi de... - Zenpen (Japan),时空冒险 - 前篇
Titanic Mystery - Ao no Senritsu (Japan),泰坦尼克之谜 - 苍之战栗
Tobidase Daisakusen (Japan) (Famicom 3D System),出击大作战
Tonkachi Editor (Japan) (Unl),大锤游戏修改器
Tooyama no Kinsan Space Chou - Mr. Gold (Japan),金先生太空之旅
